eval/mean_quat_reward,train/n_updates,eval/mean_bonus_reward,train/ent_coef,train/critic_loss,eval/success_rate,time/total_timesteps,train/learning_rate,train/ent_coef_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_pos_reward,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/fps
,,,,,,1075000,,,,,,,16805,21500,30.50848961,50.0,0.0,63
40.83468551920822,1099899,0.21,0.002331334166228771,0.026727277785539627,0.02,1100000,0.0003,-1.8226383924484253,-66.8736572265625,50.0,30.913174012973904,41.37105089749971,,,,,,
,,,,,,1100000,,,,,,,17206,22000,30.163672820000002,50.0,0.0,63
40.9696845170107,1124899,0.03,0.0022656626533716917,0.024940423667430878,0.0,1125000,0.0003,-5.744112968444824,-67.59644317626953,50.0,30.977793134171517,41.525181092183,,,,,,
,,,,,,1125000,,,,,,,17605,22500,30.89597152,50.0,0.0,63
41.08893803003335,1149899,0.1,0.002307975897565484,0.038956038653850555,0.0,1150000,0.0003,1.2090611457824707,-66.90383911132812,50.0,31.31977140724659,42.181664642898134,,,,,,
,,,,,,1150000,,,,,,,17995,23000,31.021694610000004,50.0,0.01,63
41.80847004674867,1174899,0.08,0.0021348583977669477,0.030226577073335648,0.0,1175000,0.0003,1.9732106924057007,-67.13709259033203,50.0,31.781278368905188,42.73401479307627,,,,,,
,,,,,,1175000,,,,,,,18381,23500,31.021495889999997,50.0,0.0,63
41.61437920785274,1199899,0.09,0.0020957300439476967,0.030308617278933525,0.0,1200000,0.0003,0.1428382396697998,-67.0859146118164,50.0,31.389973980113865,41.97252677637173,,,,,,
,,,,,,1200000,,,,,,,18768,24000,31.26623497,50.0,0.01,63
40.854897074462656,1224899,0.19,0.0020933339837938547,0.025983577594161034,0.0,1225000,0.0003,1.6373684406280518,-67.32254028320312,50.0,30.92695385351777,41.39953946234662,,,,,,
,,,,,,1225000,,,,,,,19149,24500,31.334587080000002,50.0,0.01,63
42.153423863139636,1249899,0.06,0.0020380958449095488,0.02196115255355835,0.01,1250000,0.0003,3.0193989276885986,-67.26272583007812,50.0,31.057805449152365,40.84539539324581,,,,,,
,,,,,,1250000,,,,,,,19526,25000,31.165386569999995,50.0,0.01,64
41.02368839905093,1274899,0.36,0.0020789906848222017,0.022623807191848755,0.01,1275000,0.0003,-1.6955899000167847,-68.111083984375,50.0,31.297288373857736,42.0283102691524,,,,,,
,,,,,,1275000,,,,,,,19907,25500,31.416287970000003,50.0,0.0,64
41.33009535079511,1299899,0.03,0.0019989358261227608,0.031085295602679253,0.0,1300000,0.0003,0.4089399576187134,-67.23358154296875,50.0,30.999617162644864,41.3176282198841,,,,,,
,,,,,,1300000,,,,,,,20286,26000,31.020265260000006,50.0,0.0,64
