train/ent_coef_loss,eval/mean_ep_length,eval/mean_quat_reward,train/ent_coef,train/n_updates,eval/mean_bonus_reward,eval/mean_reward,train/learning_rate,eval/mean_pos_reward,train/critic_loss,eval/success_rate,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/success_rate
1.32893705368042,50.0,45.35644060799363,0.0013440143084153533,649899,1.31,34.95467944934964,0.0003,46.57613861766546,0.004800613038241863,0.03,650000,-70.1033706665039,,,,,,
,,,,,,,,,,,650000,,34.33985499999999,16009,40,13000,50.0,0.0
1.4525386095046997,50.0,44.96134776874116,0.0013632643967866898,674899,0.33999999999999997,34.55710342735052,0.0003,46.46353297049294,0.0049488176591694355,0.01,675000,-70.32536315917969,,,,,,
,,,,,,,,,,,675000,,34.13492412,16623,40,13500,50.0,0.0
-1.1756212711334229,50.0,45.09231598747155,0.0013661548728123307,699899,0.51,34.7138064853847,0.0003,46.62645499436527,0.004464676603674889,0.01,700000,-70.37527465820312,,,,,,
,,,,,,,,,,,700000,,34.5730935,17239,40,14000,50.0,0.0
-2.117905378341675,50.0,45.25651714918336,0.0014145011082291603,724899,1.79,35.12734090685844,0.0003,46.73142322621758,0.004457843489944935,0.04,725000,-70.55056762695312,,,,,,
,,,,,,,,,,,725000,,34.62912209,17851,40,14500,50.0,0.02
-0.01618647575378418,50.0,44.90657092203135,0.0014319905312731862,749899,0.05,34.66022174283862,0.0003,46.84215802281756,0.003880367148667574,0.0,750000,-70.94237518310547,,,,,,
,,,,,,,,,,,750000,,34.50868422,18468,40,15000,50.0,0.0
-2.362471580505371,50.0,45.59884956445196,0.0014382157241925597,774899,0.53,35.023929086476564,0.0003,46.98343341605892,0.003721092827618122,0.01,775000,-70.94053649902344,,,,,,
,,,,,,,,,,,775000,,34.96567615,19083,40,15500,50.0,0.01
-1.655514121055603,50.0,45.29198393935982,0.0014460053062066436,799899,0.79,35.152837915867565,0.0003,47.264683816323995,0.0060989148914813995,0.02,800000,-71.0603256225586,,,,,,
,,,,,,,,,,,800000,,34.96573141999999,19694,40,16000,50.0,0.0
-2.5506534576416016,50.0,45.28717971209553,0.0013999409275129437,824899,1.26,35.177900915294884,0.0003,47.082211977732605,0.004523439798504114,0.03,825000,-71.04315948486328,,,,,,
,,,,,,,,,,,825000,,34.711657089999996,20310,40,16500,50.0,0.0
-0.8607879281044006,50.0,44.94155409844097,0.0013952911831438541,849899,1.54,35.19410552084446,0.0003,47.14743399796531,0.0053654806688427925,0.04,850000,-71.23786163330078,,,,,,
,,,,,,,,,,,850000,,34.84824049,20924,40,17000,50.0,0.02
-0.2662009000778198,50.0,46.05804002189743,0.0013767253840342164,874899,0.8999999999999999,35.33904570773244,0.0003,47.19907145306028,0.006425166502594948,0.03,875000,-71.00514221191406,,,,,,
,,,,,,,,,,,875000,,34.98452944,21540,40,17500,50.0,0.05
-1.9365109205245972,50.0,45.46384571474613,0.0014199648285284638,899899,2.54,35.629791293740276,0.0003,47.25765975319353,0.003504781285300851,0.06,900000,-71.2041015625,,,,,,
,,,,,,,,,,,900000,,34.96657922,22154,40,18000,50.0,0.02
0.08580803871154785,50.0,45.439788147894745,0.001406357390806079,924899,1.97,35.612451878488066,0.0003,47.52000974868042,0.0033060202840715647,0.05,925000,-71.31991577148438,,,,,,
,,,,,,,,,,,925000,,35.14087902,22766,40,18500,50.0,0.05
1.3945119380950928,50.0,45.37674254838028,0.0013950483407825232,949899,1.6500000000000001,35.50191015005112,0.0003,47.49044905188228,0.0036974863614887,0.04,950000,-71.5829086303711,,,,,,
,,,,,,,,,,,950000,,35.415497210000005,23380,40,19000,50.0,0.02
0.35637569427490234,50.0,45.69636528300652,0.0014429747825488448,974899,2.44,35.84056313946843,0.0003,47.61294366252014,0.004181965254247189,0.06,975000,-71.54042053222656,,,,,,
,,,,,,,,,,,975000,,35.22665156,23994,40,19500,50.0,0.05
-1.4411351680755615,50.0,45.682731962885974,0.0014160491991788149,999899,4.130000000000001,36.18185132324695,0.0003,47.45733664365398,0.0037692254409193993,0.1,1000000,-71.60968780517578,,,,,,
,,,,,,,,,,,1000000,,35.284773369999996,24603,40,20000,50.0,0.04
0.4461168646812439,50.0,45.636892892663354,0.0013485876843333244,1024899,2.8000000000000003,35.775079901069404,0.0003,47.331713372805574,0.007495362777262926,0.07,1025000,-71.71522521972656,,,,,,
,,,,,,,,,,,1025000,,35.37334681,25219,40,20500,50.0,0.06
-3.0528361797332764,50.0,46.06898952465042,0.0013193819904699922,1049899,4.03,36.438300965875385,0.0003,47.82710717126674,0.0032757006119936705,0.1,1050000,-71.70956420898438,,,,,,
,,,,,,,,,,,1050000,,35.626737379999994,25831,40,21000,50.0,0.06
-1.0842304229736328,50.0,45.879792714720566,0.001298176939599216,1074899,2.31,35.89008240863681,0.0003,47.68526849403567,0.004106484819203615,0.06,1075000,-72.23042297363281,,,,,,
,,,,,,,,,,,1075000,,35.67039286,26444,40,21500,50.0,0.05
-2.5432963371276855,50.0,46.92191305245946,0.0013675516238436103,1099899,5.19,36.83562542274594,0.0003,47.61529430790282,0.0028460449539124966,0.13,1100000,-72.26179504394531,,,,,,
,,,,,,,,,,,1100000,,35.45750043,27059,40,22000,50.0,0.05
2.3273682594299316,50.0,46.45751363209418,0.001407636795192957,1124899,4.17,36.542247581779954,0.0003,47.77073836390519,0.004299377091228962,0.11,1125000,-72.19889831542969,,,,,,
,,,,,,,,,,,1125000,,35.938283569999996,27664,40,22500,50.0,0.09
0.7439192533493042,50.0,45.77100843122951,0.0014203420141711831,1149899,4.6,36.377648268640044,0.0003,47.56979234501328,0.004046698100864887,0.12,1150000,-72.29146575927734,,,,,,
,,,,,,,,,,,1150000,,35.90265052,28275,40,23000,50.0,0.07
0.8879154920578003,50.0,45.891897784181715,0.0014257080620154738,1174899,5.3100000000000005,36.69398522913456,0.0003,47.78702154638566,0.003150846343487501,0.13,1175000,-72.65298461914062,,,,,,
,,,,,,,,,,,1175000,,35.8278562,28884,40,23500,50.0,0.06
0.916540265083313,50.0,46.07884900898882,0.0015007633483037353,1199899,6.43,37.12234126508236,0.0003,47.99025799911236,0.0051803127862513065,0.17,1200000,-72.61894989013672,,,,,,
,,,,,,,,,,,1200000,,36.1266187,29484,40,24000,50.0,0.11
-0.40147000551223755,50.0,45.78464207873046,0.0015162969939410686,1224899,7.82,37.36272385656834,0.0003,47.923126588028154,0.0047661541029810905,0.19,1225000,-72.69120788574219,,,,,,
,,,,,,,,,,,1225000,,35.92567188,30089,40,24500,50.0,0.07
-2.9241600036621094,50.0,46.24989619291346,0.0015145373763516545,1249899,7.7700000000000005,37.36383324891329,0.0003,47.71771842802027,0.0043572308495640755,0.2,1250000,-73.02372741699219,,,,,,
,,,,,,,,,,,1250000,,36.41003418,30696,40,25000,50.0,0.07
-2.5843122005462646,50.0,46.28452362464877,0.0015956819988787174,1274899,9.379999999999999,37.82962283343077,0.0003,47.82698386357637,0.005180943291634321,0.23,1275000,-73.1419906616211,,,,,,
,,,,,,,,,,,1275000,,36.07090133,31296,40,25500,50.0,0.16
-0.20950835943222046,50.0,45.42035695281789,0.0016558419447392225,1299899,5.43,36.547757710665465,0.0003,47.67033695725708,0.005434955935925245,0.14,1300000,-73.1287841796875,,,,,,
,,,,,,,,,,,1300000,,35.912064310000005,31902,40,26000,50.0,0.11
0.8134245276451111,50.0,45.859664654692644,0.0016846529906615615,1324899,9.53,37.70035445451737,0.0003,47.70587658546581,0.006377807352691889,0.23,1325000,-73.34660339355469,,,,,,
,,,,,,,,,,,1325000,,35.982306439999995,32503,40,26500,50.0,0.12
0.2712740898132324,50.0,46.13247353343502,0.0016562778037041426,1349899,9.9,37.989346411675214,0.0003,47.9624560867455,0.006191341206431389,0.25,1350000,-73.53938293457031,,,,,,
,,,,,,,,,,,1350000,,36.273037650000006,33108,40,27000,50.0,0.07
1.9560985565185547,50.0,45.89946534619595,0.0016563410172238946,1374899,6.97,37.010835645645855,0.0003,47.586938655306206,0.0050840796902775764,0.18,1375000,-73.83982849121094,,,,,,
,,,,,,,,,,,1375000,,36.685850769999995,33712,40,27500,50.0,0.11
-2.8592913150787354,50.0,46.485354839630816,0.0017534333746880293,1399899,7.02,37.17590695589781,0.0003,47.599136523849886,0.0047782715409994125,0.17,1400000,-73.92945861816406,,,,,,
,,,,,,,,,,,1400000,,36.37427127,34312,40,28000,50.0,0.1
-0.5568883419036865,50.0,46.12563199866312,0.0018210995476692915,1424899,12.58,38.64043402791023,0.0003,47.928052096903265,0.006670144386589527,0.32,1425000,-74.06654357910156,,,,,,
,,,,,,,,,,,1425000,,36.53216493999999,34918,40,28500,50.0,0.17
-0.11018297076225281,50.0,46.182330943087244,0.0019164416007697582,1449899,8.290000000000001,37.554333817958835,0.0003,47.87250213794497,0.006590394303202629,0.21,1450000,-74.15533447265625,,,,,,
,,,,,,,,,,,1450000,,36.257026249999996,35525,40,29000,50.0,0.1
-2.1369588375091553,50.0,46.34278491430654,0.001965973759070039,1474899,11.65,38.43336316168308,0.0003,47.87033386410241,0.0060926745645701885,0.3,1475000,-74.28595733642578,,,,,,
,,,,,,,,,,,1475000,,36.31743846,36125,40,29500,50.0,0.05
1.6716477870941162,50.0,45.71867670269404,0.002037554746493697,1499899,10.35,37.935867947340014,0.0003,47.83739752404816,0.006706953980028629,0.29,1500000,-74.29452514648438,,,,,,
,,,,,,,,,,,1500000,,36.39032055,36733,40,30000,50.0,0.12
-0.45121344923973083,50.0,46.5642207980455,0.0020404355600476265,1524899,12.790000000000001,38.72718400925398,0.0003,47.777257637699094,0.007951384410262108,0.32,1525000,-74.73985290527344,,,,,,
,,,,,,,,,,,1525000,,36.312285259999996,37336,40,30500,50.0,0.13
-2.0519778728485107,50.0,46.35810007984377,0.0020160493440926075,1549899,11.81,38.43272155508399,0.0003,47.78139311976655,0.011006930842995644,0.3,1550000,-74.70243835449219,,,,,,
,,,,,,,,,,,1550000,,36.136027059999996,37939,40,31000,50.0,0.07
0.1898508071899414,50.0,46.18278731665984,0.002005788264796138,1574899,12.479999999999999,38.61227435663343,0.0003,47.89315505296396,0.007727629505097866,0.31,1575000,-74.16974639892578,,,,,,
,,,,,,,,,,,1575000,,36.25278748,38546,40,31500,50.0,0.08
