train/n_updates,train/learning_rate,train/ent_coef,eval/mean_reward,time/total_timesteps,train/ent_coef_loss,train/critic_loss,eval/mean_ep_length,train/actor_loss,eval/success_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean
2599899,0.0003,0.007571293041110039,62.467360269255,2600000,0.6474016308784485,0.1393265724182129,50.0,-120.54598999023438,1.0,,,,,,
,,,,2600000,,,,,,89,52000,50.0,0.9900000095367432,28958,60.4089273
2624899,0.0003,0.00746924988925457,61.96008563298266,2625000,-0.5644909143447876,0.13357345759868622,50.0,-121.12353515625,0.97,,,,,,
,,,,2625000,,,,,,89,52500,50.0,1.0,29232,61.26934763000001
2649899,0.0003,0.007271269802004099,62.11636844858178,2650000,-1.058849811553955,0.15619204938411713,50.0,-121.65711975097656,1.0,,,,,,
,,,,2650000,,,,,,89,53000,50.0,0.9599999785423279,29506,60.55008986000001
2674899,0.0003,0.00692115118727088,61.96542682768777,2675000,0.3063074052333832,0.14673317968845367,50.0,-122.08940124511719,0.98,,,,,,
,,,,2675000,,,,,,89,53500,50.0,0.9800000190734863,29780,61.82615458
2699899,0.0003,0.006669050548225641,62.86013147167861,2700000,0.22095578908920288,0.103902667760849,50.0,-122.45085144042969,0.99,,,,,,
,,,,2700000,,,,,,89,54000,50.0,1.0,30054,61.00903655
2724899,0.0003,0.006543515715748072,61.9513835374685,2725000,0.15398818254470825,0.10860064625740051,50.0,-123.20819854736328,1.0,,,,,,
,,,,2725000,,,,,,89,54500,50.0,0.9800000190734863,30329,61.241632990000014
2749899,0.0003,0.00598665326833725,62.31731637490506,2750000,0.791279673576355,0.17895011603832245,50.0,-122.95098114013672,0.97,,,,,,
,,,,2750000,,,,,,89,55000,50.0,0.9399999976158142,30604,59.720997749999995
2774899,0.0003,0.00612710602581501,61.37451178872958,2775000,-0.903100848197937,0.10713155567646027,50.0,-123.42890930175781,0.96,,,,,,
,,,,2775000,,,,,,89,55500,50.0,0.9800000190734863,30881,60.77409997999999
2799899,0.0003,0.006085477769374847,62.21970108552836,2800000,0.8257402181625366,0.10116235911846161,50.0,-123.20500946044922,0.98,,,,,,
,,,,2800000,,,,,,89,56000,50.0,0.9800000190734863,31158,61.098725310000006
2824899,0.0003,0.006166455335915089,60.31537487826892,2825000,-0.010675393044948578,0.12925228476524353,50.0,-123.35374450683594,0.9,,,,,,
,,,,2825000,,,,,,89,56500,50.0,0.9800000190734863,31433,61.695507649999996
2849899,0.0003,0.006162592675536871,61.57219032714609,2850000,1.2493767738342285,0.1042676717042923,50.0,-123.47207641601562,0.98,,,,,,
,,,,2850000,,,,,,89,57000,50.0,0.9800000190734863,31707,61.69704664999998
2874899,0.0003,0.006193905603140593,61.77261730262078,2875000,-1.6367809772491455,0.12308402359485626,50.0,-123.73765563964844,0.98,,,,,,
,,,,2875000,,,,,,89,57500,50.0,0.949999988079071,31980,61.12693873999999
2899899,0.0003,0.006181463599205017,61.266607397750484,2900000,1.212160587310791,0.1394035816192627,50.0,-123.93448638916016,0.97,,,,,,
,,,,2900000,,,,,,89,58000,50.0,0.9800000190734863,32252,61.521711460000006
2924899,0.0003,0.006685989908874035,62.41148158789438,2925000,-1.1674659252166748,0.112019382417202,50.0,-123.68479919433594,0.99,,,,,,
,,,,2925000,,,,,,89,58500,50.0,1.0,32524,61.66970543999999
2949899,0.0003,0.006538104731589556,62.046917819236405,2950000,0.46052488684654236,0.43399500846862793,50.0,-123.01377868652344,0.98,,,,,,
,,,,2950000,,,,,,89,59000,50.0,0.9599999785423279,32794,61.099788159999996
2974899,0.0003,0.006456047762185335,61.044243219810305,2975000,0.47723132371902466,0.13120800256729126,50.0,-123.01195526123047,0.99,,,,,,
