time/total_timesteps,train/ent_coef,train/n_updates,eval/mean_reward,train/actor_loss,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,train/critic_loss,eval/success_rate,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate
2200000,0.004432921763509512,2199899,64.7612210674584,-125.75642395019531,1.0835801362991333,0.0003,50.0,0.12432775646448135,0.89,,,,,,
2200000,,,,,,,,,,44000,50.0,123,17745,63.33652765,0.7300000190734863
2225000,0.004398995079100132,2224899,64.06230848111213,-125.58076477050781,-1.002455711364746,0.0003,50.0,0.12288068234920502,0.8,,,,,,
2225000,,,,,,,,,,44500,50.0,124,17940,63.05371200999999,0.6800000071525574
2250000,0.004273189697414637,2249899,63.22025390890427,-125.86325073242188,1.3293101787567139,0.0003,50.0,0.17406104505062103,0.78,,,,,,
2250000,,,,,,,,,,45000,50.0,124,18133,64.69689237,0.7599999904632568
2275000,0.004195705521851778,2274899,65.16374632626771,-126.2440185546875,-0.03306323289871216,0.0003,50.0,0.12774136662483215,0.8,,,,,,
2275000,,,,,,,,,,45500,50.0,124,18327,64.59496564,0.8100000023841858
2300000,0.004274711944162846,2299899,64.87299553468823,-126.7831802368164,1.9495506286621094,0.0003,50.0,0.13294251263141632,0.86,,,,,,
2300000,,,,,,,,,,46000,50.0,124,18521,63.8646694,0.6899999976158142
2325000,0.004154011607170105,2324899,64.65817246293649,-126.91508483886719,1.0651814937591553,0.0003,50.0,0.1114279180765152,0.88,,,,,,
2325000,,,,,,,,,,46500,50.0,124,18716,64.52852763,0.6899999976158142
2350000,0.004144366830587387,2349899,65.12391732871532,-127.21311950683594,-0.622325599193573,0.0003,50.0,0.11213377118110657,0.81,,,,,,
